,symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
101,VN30F2412,13591040,FU,HNX,VN30F2412 - Future contract,VN30F2412 - Future contract,VN30F2412 - HĐTL,VN30F2412 - HĐTL
102,VN30F2411,14175336,FU,HNX,VN30F2411 - Future contract,VN30F2411 - Future contract,VN30F2411 - HĐTL,VN30F2411 - HĐTL
103,VN30F2410,14045251,FU,DELISTED,VN30F2410 - Future contract,VN30F2410 - Future contract,VN30F2410 - HĐTL,VN30F2410 - HĐTL
104,VN30F2409,13254269,FU,DELISTED,VN30F2409 - Future contract,VN30F2409 - Future contract,VN30F2409 - HĐTL,VN30F2409 - HĐTL
105,VN30F2408,13824519,FU,DELISTED,VN30F2408 - Future contract,VN30F2408 - Future contract,VN30F2408 - HĐTL,VN30F2408 - HĐTL
106,VN30F2407,13681124,FU,DELISTED,VN30F2407 - Future contract,VN30F2407 - Future contract,VN30F2407 - HĐTL,VN30F2407 - HĐTL
107,VN30F2406,12868792,FU,DELISTED,VN30F2406 - Future contract,VN30F2406 - Future contract,VN30F2406 - HĐTL,VN30F2406 - HĐTL
108,VN30F2405,13486776,FU,DELISTED,VN30F2405 - Future contract,VN30F2405 - Future contract,VN30F2405 - HĐTL,VN30F2405 - HĐTL
109,VN30F2404,13345113,FU,DELISTED,VN30F2404 - Future contract,VN30F2404 - Future contract,VN30F2404 - HĐTL,VN30F2404 - HĐTL
110,VN30F2403,12511178,FU,DELISTED,VN30F2403 - Future contract,VN30F2403 - Future contract,VN30F2403 - HĐTL,VN30F2403 - HĐTL
111,VN30F2402,13141729,FU,DELISTED,VN30F2402 - Future contract,VN30F2402 - Future contract,VN30F2402 - HĐTL,VN30F2402 - HĐTL
112,VN30F2401,12988868,FU,DELISTED,VN30F2401 - Future contract,VN30F2401 - Future contract,VN30F2401 - HĐTL,VN30F2401 - HĐTL
113,VMT,11815775,STOCK,UPCOM,Vina Trans Da Nang Joint Stock Company,Vina Trans Da Nang,Giao nhận Vận tải Miền Trung,Công ty Cổ phần Giao nhận Vận tải Miền Trung
114,VMS,8425683,STOCK,HNX,Vietnam Maritime Development Joint Stock Company,Vietnam Maritime Development,Phát triển Hàng Hải,Công ty Cổ phần Phát triển Hàng Hải
115,VMK,13223095,STOCK,UPCOM,Vimarko Joint Stock Company,Vimarko,Vimarko,Công ty Cổ phần Vimarko
116,VMI,9679674,STOCK,DELISTED,VISACO Mineral and Investement Joint Stock Company,VISACO Mineral and Investement,KS và Đầu tư VISACO,Công ty Cổ phần Khoáng sản và Đầu tư VISACO
117,VMG,8426146,STOCK,UPCOM,Vung Tau Petroleum Trading and Services Joint Stock Company,Vung Tau Petroleum,Vimexco Gas,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Vũng Tàu
118,VMD,8424523,STOCK,HSX,Vimedimex Medi - Pharma Joint Stock Company,Vimedimex Medi - Pharma,Y Dược phẩm Vimedimex,Công ty Cổ phần Y Dược phẩm Vimedimex
119,VMC,8426207,STOCK,HNX,Vimeco Joint Stock Company,VIMECO,VIMECO,Công ty Cổ phần VIMECO
120,VMA,8425563,STOCK,UPCOM,Vinacomin - Motor Industry Joint Stock Company,Vinacomin Motor Industry,CN Ô tô - Vinacomin,Công ty Cổ phần Công nghiệp Ô tô - Vinacomin
121,VLW,8425196,STOCK,UPCOM,Vinh Long Water Supply Joint Stock Company,Vinh Long Warter Supply,Cấp nước Vĩnh Long,Công ty Cổ phần Cấp nước Vĩnh Long
122,VLP,8425677,STOCK,UPCOM,Vinh Long Public Works Joint Stock Company,Vinh Long Public Works,Công trình Công cộng Vĩnh Long,Công ty Cổ phần Công trình Công cộng Vĩnh Long
123,VLG,8425966,STOCK,UPCOM,VIMC Logistics Joint Stock Company,VIMC Logistics JSC,VIMC Logistics,Công ty Cổ phần VIMC Logistics
124,VLF,8425094,STOCK,UPCOM,VinhLong Cereal and Food Corporation,Vinh Long Food,Lương thực Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long
125,VLC,8425846,STOCK,UPCOM,Vietnam LiveStock Corporation - Joint Stock Company,Vietnam LiveStock,Chăn nuôi Việt Nam,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần
126,VLB,8425875,STOCK,UPCOM,Bien Hoa Building Materials Production and Construction Joint Stock Company,Bien Hoa Building Materials,VLXD Biên Hòa,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa
127,VLA,8425940,STOCK,HNX,Van Lang Technology Development and Investment Joint Stock Company,Van Lang Technology Development,PT Công nghệ Văn Lang,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang
128,VKP,9679673,STOCK,UPCOM,Viky Plastic Joint Stock Company,Viky Plastic,Nhựa Tân Hóa,Công ty Cổ phần Nhựa Tân Hóa
129,VKD,8425097,STOCK,DELISTED,Khanh Hoa Mineral Water Joint Stock Company,Khanh Hoa Mineral Water,Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa
130,VKC,8426083,STOCK,UPCOM,VKC Holdings Joint Stock Company,VKC Holdings,VKC Holdings,Công ty Cổ phần VKC Holdings
131,VJC,8424758,STOCK,HSX,VietJet Aviation Joint Stock Company,Vietjet Air,Vietjet Air,Công ty Cổ phần Hàng không Vietjet
132,VIX,8424903,STOCK,HSX,VIX Securities Joint Stock Company,VIX Securities,Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX
133,VIW,8425770,STOCK,UPCOM,Vietnam Water and Environment Investment Corporation - JSC,Viwaseen,Đầu tư nước và môi trường VN - Viwaseen,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - Công ty Cổ phần
134,VIT,8425616,STOCK,HNX,Viglacera Tien Son Joint Stock Company,Viglacera Tien Son,Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn
135,VIS,8424604,STOCK,DELISTED,Vietnam - Itaty Steel JSC,Vietnam - Italy Steel,Thép Việt Ý,Công ty Cổ phần Thép Việt Ý
136,VIR,9679672,STOCK,UPCOM,VungTau Intourco Resort Joint Stock Company,VungTau Intourco Resort,Du lịch Vũng Tàu,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu
137,VIP,8424495,STOCK,HSX,Vietnam Petroleum Transport Joint Stock Company,Viet Nam Petroleum Transport,Vận tải Xăng dầu VIPCO,Công ty Cổ phần Vận tải Xăng dầu VIPCO
138,VIN,8425535,STOCK,UPCOM,VINATRANS,VINATRANS,Kho vận ngoại thương VN,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam
139,VIM,8425475,STOCK,UPCOM,Viglacera Mineral Joint Stock Company,Viglacera Mineral,Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera
140,VIH,8425673,STOCK,UPCOM,Viglacera Ha Noi Joint Stock Company,Viglacera Ha Noi,Viglacera Hà Nội,Công ty Cổ phần Viglacera Hà Nội
141,VIG,8425577,STOCK,HNX,Viet Nam Financial Investment Securities Corporation,Viet Nam Financial Investment Securities,Chứng khoán Đầu tư Tài chính Việt Nam,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam
142,VIF,8425853,STOCK,HNX,Viet Nam Forestry Corporation Joint Stock Company,VietNam Forestry,Lâm nghiệp Việt Nam,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần
143,VIE,8425583,STOCK,UPCOM,VITECO Vietnam Telecommunications Technology Joint Stock Company,VITECO VNPT,CN Viễn thông VI TE CO,Công ty Cổ phần Công nghệ Viễn thông VI TE CO
144,VID,8424549,STOCK,HSX,Vien Dong Investment Development Trading Corporation,Vien Dong Paper,Viễn Đông,Công ty Cổ phần Đầu tư Phát triển Thương mại Viễn Đông
145,VIC124005,13659861,BOND,BOND,VIC124005 - Bond,VIC124005 - Bond,VIC124005 - Trái phiếu,VIC124005 - Trái phiếu
146,VIC124004,13659837,BOND,BOND,VIC124004 - Bond,VIC124004 - Bond,VIC124004 - Trái phiếu,VIC124004 - Trái phiếu
147,VIC124003,13659881,BOND,BOND,VIC124003 - Bond,VIC124003 - Bond,VIC124003 - Trái phiếu,VIC124003 - Trái phiếu
148,VIC123029,13166768,BOND,BOND,VIC123029 - Bond,VIC123029 - Bond,VIC123029 - Trái phiếu,VIC123029 - Trái phiếu
149,VIC123028,13166745,BOND,BOND,VIC123028 - Bond,VIC123028 - Bond,VIC123028 - Trái phiếu,VIC123028 - Trái phiếu
150,VIC121005,11410117,BOND,DELISTED,VIC121005 - Bond,VIC121005 - Bond,VIC121005 - Trái phiếu,VIC121005 - Trái phiếu
151,VIC121004,11410135,BOND,DELISTED,VIC121004 - Bond,VIC121004 - Bond,VIC121004 - Trái phiếu,VIC121004 - Trái phiếu
152,VIC121003,11410134,BOND,DELISTED,VIC121003 - Bond,VIC121003 - Bond,VIC121003 - Trái phiếu,VIC121003 - Trái phiếu
